iter	Passed	Remaining
588	1836	1281
589	1839	1278
590	1843	1275
591	1846	1272
592	1848	1268
593	1851	1265
594	1856	1263
595	1859	1260
596	1862	1257
597	1864	1253
598	1868	1250
599	1872	1248
600	1875	1245
601	1878	1242
602	1881	1238
603	1884	1235
604	1888	1232
605	1890	1229
606	1892	1225
607	1895	1222
608	1900	1219
609	1903	1216
610	1906	1213
611	1909	1210
612	1912	1207
613	1916	1205
614	1919	1201
615	1922	1198
616	1925	1195
617	1929	1192
618	1932	1189
619	1935	1186
620	1938	1182
621	1940	1179
622	1943	1176
623	1946	1172
624	1948	1169
625	1951	1165
626	1954	1162
627	1956	1158
628	1959	1155
629	1964	1153
630	1966	1150
631	1969	1146
632	1973	1144
633	1976	1141
634	1980	1138
635	1982	1134
636	1985	1131
637	1987	1127
638	1991	1125
639	1994	1122
640	1997	1118
641	2000	1115
642	2002	1111
643	2007	1109
644	2010	1106
645	2013	1103
646	2016	1099
647	2018	1096
648	2022	1093
649	2024	1090
650	2027	1086
651	2030	1083
652	2034	1080
653	2037	1078
654	2040	1074
655	2042	1071
656	2045	1067
657	2049	1065
658	2052	1062
659	2055	1058
660	2057	1055
661	2060	1051
662	2062	1048
663	2066	1045
664	2069	1042
665	2072	1039
666	2075	1035
667	2077	1032
668	2080	1029
669	2084	1026
670	2087	1023
671	2090	1020
672	2092	1016
673	2096	1014
674	2100	1011
675	2102	1007
676	2105	1004
677	2108	1001
678	2112	998
679	2115	995
680	2117	992
681	2120	988
682	2122	985
683	2126	982
684	2129	979
685	2132	976
686	2135	972
687	2137	969
688	2140	966
689	2144	963
690	2146	959
691	2149	956
692	2151	953
693	2154	949
694	2158	947
695	2161	943
696	2163	940
697	2166	937
698	2168	933
699	2171	930
700	2175	927
701	2178	924
702	2180	921
703	2182	917
704	2185	914
705	2189	911
706	2192	908
707	2195	905
708	2197	902
709	2200	898
710	2204	896
711	2207	892
712	2210	889
713	2213	886
714	2216	883
715	2220	880
716	2223	877
717	2226	874
718	2229	871
719	2233	868
720	2236	865
721	2239	862
722	2241	858
723	2244	855
724	2247	852
725	2251	849
726	2253	846
727	2256	843
728	2258	839
729	2261	836
730	2266	833
731	2269	831
732	2272	827
733	2274	824
734	2278	821
735	2282	818
736	2285	815
737	2288	812
738	2290	809
739	2296	807
740	2300	804
741	2303	801
742	2306	797
743	2310	794
744	2313	791
745	2315	788
746	2318	785
747	2320	781
748	2324	779
749	2327	775
750	2330	772
751	2334	769
752	2337	766
753	2341	763
754	2343	760
755	2346	757
756	2349	754
757	2353	751
758	2356	748
759	2359	745
760	2362	742
761	2365	738
762	2368	735
763	2372	732
764	2374	729
765	2377	726
766	2380	723
767	2383	720
768	2386	716
769	2389	713
770	2391	710
771	2394	707
772	2396	703
773	2400	700
774	2402	697
775	2405	694
776	2408	691
777	2410	687
778	2415	685
779	2418	682
780	2422	679
781	2424	675
782	2427	672
783	2431	669
784	2433	666
785	2436	663
786	2438	660
787	2441	656
788	2445	653
789	2448	650
790	2451	647
791	2453	644
792	2456	641
793	2460	638
794	2464	635
795	2466	632
796	2469	628
797	2471	625
798	2476	622
799	2479	619
800	2482	616
801	2484	613
802	2486	610
803	2491	607
804	2494	604
805	2496	600
806	2499	597
807	2501	594
808	2505	591
809	2508	588
810	2511	585
811	2513	582
812	2516	578
813	2519	575
814	2523	572
815	2525	569
816	2528	566
817	2530	563
818	2533	559
819	2537	556
820	2539	553
821	2542	550
822	2544	547
823	2547	544
824	2551	541
825	2554	538
826	2556	534
827	2559	531
828	2561	528
829	2565	525
830	2568	522
831	2571	519
832	2574	516
833	2577	512
834	2580	509
835	2583	506
836	2587	503
837	2589	500
838	2592	497
839	2594	494
840	2598	491
841	2601	488
842	2604	484
843	2606	481
844	2609	478
845	2612	475
846	2615	472
847	2618	469
848	2620	466
849	2623	462
850	2628	460
851	2631	457
852	2634	454
853	2637	450
854	2639	447
855	2643	444
856	2646	441
857	2649	438
858	2651	435
859	2654	432
860	2657	429
861	2661	426
862	2663	422
863	2666	419
864	2668	416
865	2671	413
866	2675	410
867	2677	407
868	2680	404
869	2683	400
870	2685	397
871	2689	394
872	2692	391
873	2695	388
874	2698	385
875	2702	382
876	2705	379
877	2708	376
878	2710	373
879	2713	369
880	2715	366
881	2719	363
882	2722	360
883	2725	357
884	2727	354
885	2730	351
886	2734	348
887	2736	345
888	2739	342
889	2741	338
890	2744	335
891	2747	332
892	2750	329
893	2752	326
894	2755	323
895	2758	320
896	2760	316
897	2763	313
898	2766	310
899	2768	307
900	2771	304
901	2773	301
902	2776	298
903	2779	295
904	2782	292
905	2785	288
906	2787	285
907	2789	282
908	2792	279
909	2795	276
910	2798	273
911	2800	270
912	2803	267
913	2805	264
914	2809	260
915	2811	257
916	2814	254
917	2816	251
918	2819	248
919	2821	245
920	2825	242
921	2828	239
922	2830	236
923	2833	233
924	2835	229
925	2839	226
926	2842	223
927	2844	220
928	2847	217
929	2849	214
930	2852	211
931	2855	208
932	2857	205
933	2860	202
934	2862	199
935	2865	195
936	2868	192
937	2871	189
938	2873	186
939	2876	183
940	2878	180
941	2881	177
942	2884	174
943	2887	171
944	2889	168
945	2892	165
946	2894	161
947	2897	158
948	2900	155
949	2903	152
950	2905	149
951	2908	146
952	2910	143
953	2913	140
954	2916	137
955	2919	134
956	2921	131
957	2924	128
958	2926	125
959	2929	122
960	2932	118
961	2935	115
962	2937	112
963	2940	109
964	2942	106
965	2945	103
966	2948	100
967	2951	97
968	2954	94
969	2956	91
970	2959	88
971	2963	85
972	2965	82
973	2968	79
974	2971	76
975	2974	73
976	2978	70
977	2980	67
978	2983	63
979	2985	60
980	2989	57
981	2992	54
982	2994	51
983	2998	48
984	3001	45
985	3004	42
986	3008	39
987	3011	36
988	3014	33
989	3017	30
990	3021	27
991	3023	24
992	3026	21
993	3029	18
994	3031	15
995	3036	12
996	3040	9
997	3042	6
998	3045	3
999	3048	0
